DOW,TOD,TD,sig_TD,Fare_Rate,sig_Fare_Rate,Tip_Rate,sig_Tip_Rate
1,0,2.98,2.96,5.26,6.39,1.08,1.40
1,1,2.95,2.77,5.09,5.92,1.05,1.29
1,2,3.10,2.91,4.89,5.74,1.02,1.35
1,3,3.32,3.14,4.77,5.68,0.99,1.33
1,4,3.88,3.73,4.60,5.64,0.94,1.32
1,5,4.99,5.17,4.37,5.92,0.90,1.39
1,6,5.16,5.65,4.40,6.32,0.84,1.28
1,7,4.37,5.17,4.58,7.04,0.92,1.47
1,8,3.46,4.22,4.90,7.50,1.02,1.63
1,9,3.08,3.77,5.09,7.71,1.06,1.66
1,10,2.97,3.65,5.36,8.03,1.12,1.81
1,11,2.93,3.65,5.66,8.57,1.16,1.87
1,12,2.91,3.59,5.86,8.80,1.19,1.88
1,13,2.93,3.72,6.07,9.31,1.22,1.97
1,14,2.95,3.65,6.16,9.22,1.23,1.95
1,15,2.91,3.51,6.07,8.90,1.23,1.89
1,16,2.91,3.48,6.00,8.73,1.21,1.86
1,17,2.95,3.56,5.93,8.68,1.19,1.82
1,18,2.97,3.68,5.92,8.87,1.20,1.86
1,19,3.06,3.82,5.68,8.60,1.16,1.88
1,20,3.26,3.98,5.34,8.01,1.13,1.84
1,21,3.37,3.94,5.15,7.45,1.08,1.62
1,22,3.67,4.26,4.98,7.18,1.05,1.57
1,23,4.16,4.67,4.76,6.78,0.99,1.44
2,0,4.38,4.77,4.67,6.51,0.97,1.42
2,1,4.38,4.74,4.56,6.35,1.01,1.58
2,2,4.00,4.16,4.55,6.06,0.95,1.30
2,3,4.19,4.10,4.52,5.69,0.91,1.31
2,4,5.26,4.86,4.23,5.15,0.88,1.16
2,5,4.98,5.53,4.44,6.41,0.91,1.37
2,6,3.36,4.19,4.91,7.71,0.98,1.60
2,7,2.70,3.15,5.49,7.83,1.11,1.68
2,8,2.52,2.99,6.19,8.76,1.26,1.88
2,9,2.63,3.31,6.52,9.71,1.34,2.09
2,10,2.69,3.39,6.52,9.78,1.36,2.14
2,11,2.70,3.44,6.62,10.04,1.38,2.19
2,12,2.67,3.51,6.74,10.44,1.40,2.25
2,13,2.81,3.76,6.60,10.47,1.38,2.29
2,14,2.71,3.52,6.57,10.14,1.37,2.21
2,15,2.46,2.99,6.51,9.48,1.36,2.07
2,16,2.45,2.98,6.44,9.40,1.47,2.24
2,17,2.41,2.92,6.52,9.32,1.48,2.18
2,18,2.48,3.06,6.28,9.15,1.43,2.25
2,19,2.59,3.19,5.74,8.48,1.32,1.99
2,20,3.01,3.64,5.18,7.66,1.14,1.71
2,21,3.21,3.67,4.99,7.07,1.09,1.57
2,22,3.46,3.83,4.86,6.71,1.07,1.51
2,23,3.86,4.22,4.72,6.51,1.03,1.46
3,0,3.85,4.20,4.67,6.44,1.03,1.53
3,1,4.13,4.50,4.60,6.43,1.02,1.48
3,2,4.00,4.39,4.61,6.45,1.01,1.49
3,3,4.41,4.66,4.51,6.17,0.98,1.42
3,4,4.83,4.91,4.40,5.87,0.91,1.27
3,5,4.04,4.97,4.75,7.50,1.00,1.63
3,6,2.88,3.64,5.12,8.01,1.04,1.71
3,7,2.43,2.78,5.76,7.96,1.19,1.74
3,8,2.28,2.59,6.59,8.83,1.35,1.90
3,9,2.38,2.90,6.96,9.93,1.43,2.15
3,10,2.50,3.10,7.01,10.18,1.47,2.40
3,11,2.53,3.21,7.25,10.69,1.50,2.30
3,12,2.49,3.26,7.53,11.34,1.56,2.50
3,13,2.58,3.41,7.45,11.35,1.53,2.45
3,14,2.57,3.30,7.17,10.77,1.49,2.41
3,15,2.38,2.86,7.02,9.92,1.46,2.18
3,16,2.34,2.74,6.82,9.50,1.54,2.25
3,17,2.41,2.88,6.77,9.48,1.52,2.22
3,18,2.41,2.91,6.58,9.30,1.47,2.15
3,19,2.58,3.13,5.88,8.49,1.34,1.98
3,20,2.91,3.46,5.30,7.69,1.17,1.77
3,21,3.05,3.37,5.13,6.92,1.12,1.55
3,22,3.26,3.52,5.00,6.65,1.08,1.50
3,23,3.49,3.71,4.89,6.49,1.06,1.46
4,0,3.70,3.96,4.76,6.48,1.03,1.44
4,1,3.66,3.81,4.69,6.21,1.04,1.46
4,2,3.51,3.58,4.66,5.99,1.03,1.42
4,3,3.69,3.74,4.69,6.10,1.01,1.40
4,4,4.72,4.86,4.47,6.05,0.96,1.42
4,5,4.11,4.99,4.70,7.34,1.04,1.73
4,6,2.96,3.73,5.06,7.93,1.03,1.69
4,7,2.43,2.82,5.86,8.17,1.22,1.81
4,8,2.35,2.73,6.52,8.92,1.33,1.91
4,9,2.40,2.93,6.94,9.89,1.43,2.15
4,10,2.46,3.01,7.05,10.05,1.46,2.19
4,11,2.52,3.16,7.24,10.56,1.50,2.31
4,12,2.54,3.27,7.48,11.15,1.53,2.40
4,13,2.71,3.54,7.37,11.17,1.50,2.38
4,14,2.57,3.22,7.20,10.55,1.48,2.29
4,15,2.36,2.73,7.18,9.77,1.49,2.15
4,16,2.36,2.73,7.11,9.75,1.58,2.27
4,17,2.28,2.53,7.17,9.40,1.59,2.43
4,18,2.37,2.82,6.92,9.60,1.53,2.22
4,19,2.59,3.16,6.26,9.00,1.40,2.07
4,20,2.88,3.36,5.48,7.73,1.19,1.74
4,21,3.09,3.42,5.20,7.03,1.13,1.57
4,22,3.20,3.38,5.07,6.62,1.09,1.46
4,23,3.38,3.54,4.93,6.40,1.05,1.53
5,0,3.54,3.73,4.81,6.40,1.04,1.44
5,1,3.55,3.63,4.70,6.07,1.04,1.41
5,2,3.47,3.44,4.70,5.92,1.04,1.56
5,3,3.72,3.71,4.64,5.92,1.04,1.51
5,4,4.68,4.69,4.47,5.85,0.94,1.33
5,5,4.38,5.18,4.61,7.06,0.97,1.55
5,6,3.06,3.90,5.08,8.07,1.04,1.82
5,7,2.51,2.93,5.71,8.05,1.17,1.75
5,8,2.32,2.70,6.55,8.94,1.34,1.94
5,9,2.42,2.95,6.91,9.82,1.43,2.13
5,10,2.50,3.09,6.95,10.08,1.45,2.19
5,11,2.51,3.11,7.14,10.31,1.48,2.24
5,12,2.57,3.30,7.29,10.87,1.52,2.77
5,13,2.69,3.47,7.20,10.85,1.49,2.34
5,14,2.50,3.04,7.20,10.26,1.48,2.22
5,15,2.30,2.62,7.29,9.79,1.52,2.21
5,16,2.29,2.59,7.19,9.67,1.60,2.26
5,17,2.23,2.44,7.17,9.22,1.59,2.29
5,18,2.36,2.77,6.91,9.51,1.53,2.17
5,19,2.61,3.21,6.28,9.11,1.40,2.08
5,20,2.89,3.42,5.60,7.95,1.22,1.89
5,21,3.03,3.33,5.36,7.14,1.15,1.58
5,22,3.20,3.39,5.23,6.80,1.11,1.49
5,23,3.32,3.48,5.09,6.64,1.08,1.51
6,0,3.31,3.47,5.03,6.59,1.08,1.49
6,1,3.42,3.53,4.84,6.35,1.04,1.46
6,2,3.30,3.25,4.79,6.00,1.05,1.49
6,3,3.53,3.48,4.71,5.93,1.00,1.42
6,4,4.53,4.54,4.48,5.87,0.95,1.37
6,5,4.68,5.39,4.58,6.86,0.97,1.50
6,6,3.32,4.24,5.01,8.02,1.01,1.71
6,7,2.63,3.17,5.65,8.22,1.15,1.76
6,8,2.48,3.01,6.41,9.17,1.30,1.97
6,9,2.50,3.16,6.87,10.14,1.40,2.25
6,10,2.61,3.30,6.94,10.28,1.42,2.19
6,11,2.64,3.36,7.03,10.48,1.44,2.26
6,12,2.63,3.37,7.00,10.52,1.43,2.27
6,13,2.67,3.39,6.80,10.23,1.40,2.30
6,14,2.44,2.86,6.90,9.59,1.41,2.15
6,15,2.24,2.49,7.10,9.32,1.45,2.04
6,16,2.27,2.60,7.07,9.59,1.56,2.22
6,17,2.30,2.61,6.91,9.25,1.52,2.24
6,18,2.41,2.88,6.48,9.11,1.44,2.14
6,19,2.57,3.19,6.20,9.09,1.37,2.08
6,20,2.79,3.45,5.71,8.46,1.24,2.05
6,21,2.97,3.54,5.48,7.87,1.17,1.76
6,22,2.99,3.33,5.48,7.38,1.16,1.62
6,23,3.15,3.45,5.40,7.21,1.13,1.56
7,0,3.22,3.37,5.21,6.72,1.09,1.50
7,1,3.09,3.13,5.14,6.46,1.07,1.43
7,2,3.05,2.88,4.97,5.85,1.04,1.35
7,3,3.32,3.14,4.76,5.68,0.97,1.28
7,4,3.82,3.69,4.63,5.72,0.99,1.47
7,5,4.86,5.23,4.47,6.27,0.94,1.60
7,6,4.21,5.08,4.74,7.36,0.98,1.61
7,7,3.31,4.13,5.00,7.79,1.03,1.70
7,8,2.99,3.75,5.23,8.08,1.08,1.73
7,9,2.67,3.27,5.42,8.08,1.13,1.78
7,10,2.60,3.10,5.55,7.99,1.17,1.76
7,11,2.49,3.01,5.88,8.52,1.22,1.85
7,12,2.32,2.69,6.37,8.79,1.30,1.88
7,13,2.40,2.85,6.52,9.19,1.30,1.94
7,14,2.49,2.96,6.16,8.75,1.25,1.86
7,15,2.46,2.83,6.06,8.36,1.26,1.84
7,16,2.48,2.84,6.05,8.28,1.23,1.78
7,17,2.51,2.83,6.11,8.22,1.23,1.74
7,18,2.49,2.91,6.14,8.50,1.25,1.82
7,19,2.49,3.04,6.21,8.85,1.25,1.96
7,20,2.79,3.46,5.56,8.23,1.18,1.80
7,21,2.78,3.24,5.46,7.61,1.16,1.86
7,22,2.80,3.00,5.46,7.02,1.15,1.70
7,23,2.93,3.00,5.37,6.68,1.11,1.50
